flair,word,count,topic
Policy/Economy,deleted,6,topic-1
Politics,india,15340,topic-1
Politics,modi,12099,topic-1
Politics,indian,6200,topic-1
Politics,people,6111,topic-1
Politics,government,4542,topic-1
Politics,like,3828,topic-1
Politics,one,3821,topic-1
Politics,dont,3139,topic-1
Politics,would,2849,topic-1
Politics,new,2787,topic-1
Politics,even,2751,topic-1
Politics,time,2377,topic-1
Politics,get,2355,topic-1
Politics,also,2323,topic-1
Politics,know,2080,topic-1
Politics,make,1849,topic-1
Politics,want,1678,topic-1
Politics,day,1643,topic-1
Politics,say,1605,topic-1
Politics,need,1555,topic-1
Politics,im,1311,topic-1
Politics,help,979,topic-1
Politics,year,934,topic-1
Politics,removed,217,topic-1
Politics,deleted,89,topic-1
Science/Technology,india,3612,topic-1
Science/Technology,indian,1325,topic-1
Science/Technology,new,884,topic-1
Science/Technology,get,728,topic-1
Science/Technology,know,651,topic-1
Science/Technology,like,620,topic-1
Science/Technology,one,589,topic-1
Science/Technology,need,440,topic-1
Science/Technology,people,430,topic-1
Science/Technology,help,426,topic-1
Science/Technology,time,402,topic-1
Science/Technology,would,397,topic-1
Science/Technology,make,392,topic-1
Science/Technology,also,390,topic-1
Science/Technology,dont,359,topic-1
Science/Technology,im,333,topic-1
Science/Technology,even,282,topic-1
Science/Technology,want,272,topic-1
Science/Technology,year,251,topic-1
Science/Technology,day,234,topic-1
Science/Technology,government,219,topic-1
Science/Technology,say,126,topic-1
Science/Technology,modi,90,topic-1
Science/Technology,removed,22,topic-1
Science/Technology,deleted,16,topic-1
[R]eddiquette,india,1666,topic-1
[R]eddiquette,like,1178,topic-1
[R]eddiquette,people,1171,topic-1
[R]eddiquette,dont,1043,topic-1
[R]eddiquette,get,968,topic-1
[R]eddiquette,indian,921,topic-1
[R]eddiquette,would,888,topic-1
[R]eddiquette,one,869,topic-1
[R]eddiquette,know,854,topic-1
[R]eddiquette,im,806,topic-1
[R]eddiquette,also,709,topic-1
[R]eddiquette,even,675,topic-1
[R]eddiquette,help,668,topic-1
[R]eddiquette,time,653,topic-1
[R]eddiquette,want,653,topic-1
[R]eddiquette,need,587,topic-1
[R]eddiquette,new,534,topic-1
[R]eddiquette,make,430,topic-1
[R]eddiquette,day,375,topic-1
[R]eddiquette,year,337,topic-1
[R]eddiquette,government,312,topic-1
[R]eddiquette,say,256,topic-1
[R]eddiquette,modi,144,topic-1
[R]eddiquette,removed,28,topic-1
[R]eddiquette,deleted,10,topic-1
AskIndia,india,10916,topic-2
AskIndia,like,9825,topic-2
AskIndia,would,8427,topic-2
AskIndia,get,8135,topic-2
AskIndia,know,7841,topic-2
AskIndia,people,7310,topic-2
AskIndia,dont,7050,topic-2
AskIndia,indian,6602,topic-2
AskIndia,one,6186,topic-2
AskIndia,help,5544,topic-2
AskIndia,need,5275,topic-2
AskIndia,time,4413,topic-2
AskIndia,new,2888,topic-2
AskIndia,year,2658,topic-2
AskIndia,first,2335,topic-2
AskIndia,day,2095,topic-2
AskIndia,say,1542,topic-2
AskIndia,government,1410,topic-2
AskIndia,bank,1249,topic-2
AskIndia,tax,697,topic-2
AskIndia,jio,560,topic-2
AskIndia,gst,443,topic-2
AskIndia,modi,426,topic-2
AskIndia,aadhaar,357,topic-2
AskIndia,deleted,53,topic-2
Business/Finance,india,4271,topic-2
Business/Finance,indian,1276,topic-2
Business/Finance,bank,1048,topic-2
Business/Finance,new,706,topic-2
Business/Finance,get,671,topic-2
Business/Finance,gst,556,topic-2
Business/Finance,tax,534,topic-2
Business/Finance,one,533,topic-2
Business/Finance,like,498,topic-2
Business/Finance,know,458,topic-2
Business/Finance,need,454,topic-2
Business/Finance,jio,428,topic-2
Business/Finance,people,398,topic-2
Business/Finance,time,389,topic-2
Business/Finance,would,369,topic-2
Business/Finance,help,364,topic-2
Business/Finance,first,343,topic-2
Business/Finance,dont,330,topic-2
Business/Finance,year,321,topic-2
Business/Finance,government,281,topic-2
Business/Finance,day,221,topic-2
Business/Finance,modi,151,topic-2
Business/Finance,say,91,topic-2
Business/Finance,aadhaar,73,topic-2
Business/Finance,deleted,3,topic-2
Coronavirus,india,1840,topic-2
Coronavirus,people,1445,topic-2
Coronavirus,like,508,topic-2
Coronavirus,government,505,topic-2
Coronavirus,get,478,topic-2
Coronavirus,indian,421,topic-2
Coronavirus,dont,415,topic-2
Coronavirus,one,395,topic-2
Coronavirus,time,387,topic-2
Coronavirus,help,385,topic-2
Coronavirus,know,376,topic-2
Coronavirus,would,317,topic-2
Coronavirus,modi,301,topic-2
Coronavirus,need,301,topic-2
Coronavirus,new,243,topic-2
Coronavirus,first,238,topic-2
Coronavirus,day,229,topic-2
Coronavirus,say,140,topic-2
Coronavirus,year,47,topic-2
Coronavirus,bank,40,topic-2
Coronavirus,tax,15,topic-2
Coronavirus,gst,6,topic-2
Coronavirus,deleted,3,topic-2
Coronavirus,jio,2,topic-2
Coronavirus,aadhaar,1,topic-2
NonPolitical,india,14172,topic-2
NonPolitical,indian,8766,topic-2
NonPolitical,people,6430,topic-2
NonPolitical,like,6355,topic-2
NonPolitical,one,5668,topic-2
NonPolitical,get,5483,topic-2
NonPolitical,dont,5168,topic-2
NonPolitical,know,4636,topic-2
NonPolitical,would,4112,topic-2
NonPolitical,new,3703,topic-2
NonPolitical,time,3637,topic-2
NonPolitical,day,3116,topic-2
NonPolitical,first,2933,topic-2
NonPolitical,need,2885,topic-2
NonPolitical,help,2810,topic-2
NonPolitical,year,2249,topic-2
NonPolitical,say,1543,topic-2
NonPolitical,government,1502,topic-2
NonPolitical,modi,1008,topic-2
NonPolitical,bank,960,topic-2
NonPolitical,aadhaar,898,topic-2
NonPolitical,jio,722,topic-2
NonPolitical,tax,403,topic-2
NonPolitical,gst,296,topic-2
NonPolitical,deleted,72,topic-2
Policy/Economy,india,5650,topic-2
Policy/Economy,government,1880,topic-2
Policy/Economy,indian,1863,topic-2
Policy/Economy,aadhaar,1534,topic-2
Policy/Economy,gst,1430,topic-2
Policy/Economy,new,1066,topic-2
Policy/Economy,people,982,topic-2
Policy/Economy,tax,968,topic-2
Policy/Economy,one,883,topic-2
Policy/Economy,bank,835,topic-2
Policy/Economy,would,827,topic-2
Policy/Economy,like,826,topic-2
Policy/Economy,modi,804,topic-2
Policy/Economy,need,708,topic-2
Policy/Economy,get,686,topic-2
Policy/Economy,time,557,topic-2
Policy/Economy,first,534,topic-2
Policy/Economy,year,503,topic-2
Policy/Economy,dont,460,topic-2
Policy/Economy,know,419,topic-2
Policy/Economy,help,382,topic-2
Policy/Economy,day,313,topic-2
Policy/Economy,say,265,topic-2
Policy/Economy,jio,68,topic-2
Policy/Economy,deleted,6,topic-2
Politics,india,15340,topic-2
Politics,modi,12099,topic-2
Politics,indian,6200,topic-2
Politics,people,6111,topic-2
Politics,government,4542,topic-2
Politics,like,3828,topic-2
Politics,one,3821,topic-2
Politics,dont,3139,topic-2
Politics,would,2849,topic-2
Politics,new,2787,topic-2
Politics,time,2377,topic-2
Politics,get,2355,topic-2
Politics,know,2080,topic-2
Politics,first,1882,topic-2
Politics,day,1643,topic-2
Politics,say,1605,topic-2
Politics,need,1555,topic-2
Politics,aadhaar,988,topic-2
Politics,help,979,topic-2
Politics,year,934,topic-2
Politics,tax,549,topic-2
Politics,gst,530,topic-2
Politics,bank,423,topic-2
Politics,jio,130,topic-2
Politics,deleted,89,topic-2
Science/Technology,india,3612,topic-2
Science/Technology,indian,1325,topic-2
Science/Technology,new,884,topic-2
Science/Technology,get,728,topic-2
Science/Technology,first,667,topic-2
Science/Technology,know,651,topic-2
Science/Technology,like,620,topic-2
Science/Technology,one,589,topic-2
Science/Technology,jio,540,topic-2
Science/Technology,need,440,topic-2
Science/Technology,people,430,topic-2
Science/Technology,help,426,topic-2
Science/Technology,time,402,topic-2
Science/Technology,would,397,topic-2
Science/Technology,dont,359,topic-2
Science/Technology,year,251,topic-2
Science/Technology,day,234,topic-2
Science/Technology,government,219,topic-2
Science/Technology,say,126,topic-2
Science/Technology,aadhaar,114,topic-2
Science/Technology,bank,97,topic-2
Science/Technology,modi,90,topic-2
Science/Technology,tax,34,topic-2
Science/Technology,gst,24,topic-2
Science/Technology,deleted,16,topic-2
[R]eddiquette,india,1666,topic-2
[R]eddiquette,like,1178,topic-2
[R]eddiquette,people,1171,topic-2
[R]eddiquette,dont,1043,topic-2
[R]eddiquette,get,968,topic-2
[R]eddiquette,indian,921,topic-2
[R]eddiquette,would,888,topic-2
[R]eddiquette,one,869,topic-2
[R]eddiquette,know,854,topic-2
[R]eddiquette,help,668,topic-2
[R]eddiquette,time,653,topic-2
[R]eddiquette,need,587,topic-2
[R]eddiquette,new,534,topic-2
[R]eddiquette,day,375,topic-2
[R]eddiquette,first,375,topic-2
[R]eddiquette,year,337,topic-2
[R]eddiquette,government,312,topic-2
[R]eddiquette,say,256,topic-2
[R]eddiquette,bank,199,topic-2
[R]eddiquette,modi,144,topic-2
[R]eddiquette,aadhaar,114,topic-2
[R]eddiquette,tax,91,topic-2
[R]eddiquette,jio,70,topic-2
[R]eddiquette,gst,59,topic-2
[R]eddiquette,deleted,10,topic-2
AskIndia,im,8654,topic-3
AskIndia,get,8135,topic-3
AskIndia,good,5994,topic-3
AskIndia,best,2843,topic-3
AskIndia,job,2778,topic-3
AskIndia,year,2658,topic-3
AskIndia,college,1679,topic-3
AskIndia,company,1457,topic-3
AskIndia,service,1104,topic-3
AskIndia,career,986,topic-3
AskIndia,school,940,topic-3
AskIndia,student,917,topic-3
AskIndia,course,807,topic-3
AskIndia,top,786,topic-3
AskIndia,education,744,topic-3
AskIndia,exam,564,topic-3
AskIndia,black,277,topic-3
AskIndia,training,243,topic-3
AskIndia,coaching,223,topic-3
AskIndia,marketing,221,topic-3
AskIndia,institute,206,topic-3
AskIndia,wireless,80,topic-3
AskIndia,specialist,46,topic-3
AskIndia,magic,42,topic-3
AskIndia,vashikaran,27,topic-3
Business/Finance,top,1283,topic-3
Business/Finance,best,982,topic-3
Business/Finance,get,671,topic-3
Business/Finance,company,597,topic-3
Business/Finance,service,467,topic-3
Business/Finance,year,321,topic-3
Business/Finance,marketing,296,topic-3
Business/Finance,im,273,topic-3
Business/Finance,good,265,topic-3
Business/Finance,coaching,250,topic-3
Business/Finance,vashikaran,249,topic-3
Business/Finance,black,224,topic-3
Business/Finance,specialist,204,topic-3
Business/Finance,job,193,topic-3
Business/Finance,magic,189,topic-3
Business/Finance,training,172,topic-3
Business/Finance,wireless,138,topic-3
Business/Finance,course,89,topic-3
Business/Finance,student,57,topic-3
Business/Finance,education,57,topic-3
Business/Finance,institute,51,topic-3
Business/Finance,school,40,topic-3
Business/Finance,career,40,topic-3
Business/Finance,college,39,topic-3
Business/Finance,exam,33,topic-3
Coronavirus,get,478,topic-3
Coronavirus,im,208,topic-3
Coronavirus,good,158,topic-3
Coronavirus,best,101,topic-3
Coronavirus,top,50,topic-3
Coronavirus,company,50,topic-3
Coronavirus,year,47,topic-3
Coronavirus,service,38,topic-3
Coronavirus,college,31,topic-3
Coronavirus,job,31,topic-3
Coronavirus,student,31,topic-3
Coronavirus,institute,30,topic-3
Coronavirus,course,25,topic-3
Coronavirus,school,25,topic-3
Coronavirus,education,19,topic-3
Coronavirus,black,15,topic-3
Coronavirus,exam,7,topic-3
Coronavirus,training,6,topic-3
Coronavirus,career,4,topic-3
Coronavirus,marketing,3,topic-3
Coronavirus,specialist,2,topic-3
Coronavirus,magic,1,topic-3
Coronavirus,coaching,1,topic-3
NonPolitical,get,5483,topic-3
NonPolitical,im,3706,topic-3
NonPolitical,good,3175,topic-3
NonPolitical,year,2249,topic-3
NonPolitical,best,2028,topic-3
NonPolitical,top,1456,topic-3
NonPolitical,job,1322,topic-3
NonPolitical,school,1309,topic-3
NonPolitical,college,1191,topic-3
NonPolitical,student,971,topic-3
NonPolitical,service,910,topic-3
NonPolitical,company,887,topic-3
NonPolitical,education,756,topic-3
NonPolitical,exam,552,topic-3
NonPolitical,course,526,topic-3
NonPolitical,career,397,topic-3
NonPolitical,black,320,topic-3
NonPolitical,institute,229,topic-3
NonPolitical,training,212,topic-3
NonPolitical,marketing,187,topic-3
NonPolitical,coaching,157,topic-3
NonPolitical,magic,107,topic-3
NonPolitical,wireless,28,topic-3
NonPolitical,specialist,26,topic-3
NonPolitical,vashikaran,2,topic-3
Policy/Economy,get,686,topic-3
Policy/Economy,year,503,topic-3
Policy/Economy,good,336,topic-3
Policy/Economy,education,278,topic-3
Policy/Economy,top,274,topic-3
Policy/Economy,service,262,topic-3
Policy/Economy,job,234,topic-3
Policy/Economy,best,179,topic-3
Policy/Economy,im,173,topic-3
Policy/Economy,company,137,topic-3
Policy/Economy,school,109,topic-3
Policy/Economy,black,102,topic-3
Policy/Economy,course,64,topic-3
Policy/Economy,exam,49,topic-3
Policy/Economy,training,46,topic-3
Policy/Economy,college,44,topic-3
Policy/Economy,student,37,topic-3
Policy/Economy,institute,29,topic-3
Policy/Economy,coaching,27,topic-3
Policy/Economy,marketing,19,topic-3
Policy/Economy,career,17,topic-3
Policy/Economy,magic,11,topic-3
Policy/Economy,wireless,8,topic-3
Policy/Economy,specialist,4,topic-3
Policy/Economy,vashikaran,1,topic-3
Politics,get,2355,topic-3
Politics,good,1450,topic-3
Politics,im,1311,topic-3
Politics,year,934,topic-3
Politics,top,839,topic-3
Politics,best,745,topic-3
Politics,education,538,topic-3
Politics,school,530,topic-3
Politics,student,500,topic-3
Politics,job,464,topic-3
Politics,college,341,topic-3
Politics,black,340,topic-3
Politics,company,284,topic-3
Politics,service,260,topic-3
Politics,course,203,topic-3
Politics,exam,104,topic-3
Politics,institute,98,topic-3
Politics,training,92,topic-3
Politics,career,73,topic-3
Politics,marketing,57,topic-3
Politics,magic,42,topic-3
Politics,coaching,20,topic-3
Politics,specialist,16,topic-3
Politics,wireless,3,topic-3
Politics,vashikaran,2,topic-3
Science/Technology,get,728,topic-3
Science/Technology,best,658,topic-3
Science/Technology,good,373,topic-3
Science/Technology,top,370,topic-3
Science/Technology,im,333,topic-3
Science/Technology,year,251,topic-3
Science/Technology,company,223,topic-3
Science/Technology,service,188,topic-3
Science/Technology,training,171,topic-3
Science/Technology,job,142,topic-3
Science/Technology,course,130,topic-3
Science/Technology,marketing,127,topic-3
Science/Technology,college,108,topic-3
Science/Technology,institute,100,topic-3
Science/Technology,education,93,topic-3
Science/Technology,student,84,topic-3
Science/Technology,school,78,topic-3
Science/Technology,wireless,74,topic-3
Science/Technology,exam,71,topic-3
Science/Technology,career,68,topic-3
Science/Technology,black,66,topic-3
Science/Technology,coaching,36,topic-3
Science/Technology,magic,24,topic-3
Science/Technology,specialist,10,topic-3
Science/Technology,vashikaran,4,topic-3
[R]eddiquette,get,968,topic-3
[R]eddiquette,im,806,topic-3
[R]eddiquette,good,548,topic-3
[R]eddiquette,year,337,topic-3
[R]eddiquette,best,308,topic-3
[R]eddiquette,job,271,topic-3
[R]eddiquette,college,224,topic-3
[R]eddiquette,top,169,topic-3
[R]eddiquette,school,168,topic-3
[R]eddiquette,company,155,topic-3
[R]eddiquette,student,124,topic-3
[R]eddiquette,education,113,topic-3
[R]eddiquette,course,106,topic-3
[R]eddiquette,service,106,topic-3
[R]eddiquette,career,101,topic-3
[R]eddiquette,exam,82,topic-3
[R]eddiquette,black,46,topic-3
[R]eddiquette,training,45,topic-3
[R]eddiquette,institute,23,topic-3
[R]eddiquette,coaching,21,topic-3
[R]eddiquette,marketing,15,topic-3
[R]eddiquette,magic,6,topic-3
[R]eddiquette,wireless,2,topic-3
[R]eddiquette,specialist,1,topic-3
[R]eddiquette,vashikaran,1,topic-3
AskIndia,india,10916,topic-4
AskIndia,people,7310,topic-4
AskIndia,country,1635,topic-4
AskIndia,government,1410,topic-4
AskIndia,case,975,topic-4
AskIndia,health,569,topic-4
AskIndia,medical,460,topic-4
AskIndia,hair,386,topic-4
AskIndia,insurance,364,topic-4
AskIndia,test,330,topic-4
AskIndia,lockdown,330,topic-4
AskIndia,doctor,312,topic-4
AskIndia,hospital,249,topic-4
AskIndia,positive,218,topic-4
AskIndia,coronavirus,155,topic-4
AskIndia,virus,147,topic-4
AskIndia,testing,131,topic-4
AskIndia,corona,127,topic-4
AskIndia,removed,118,topic-4
AskIndia,patient,70,topic-4
AskIndia,mask,63,topic-4
AskIndia,covid,55,topic-4
AskIndia,quarantine,49,topic-4
AskIndia,pandemic,41,topic-4
AskIndia,kit,32,topic-4
Business/Finance,india,4271,topic-4
Business/Finance,people,398,topic-4
Business/Finance,government,281,topic-4
Business/Finance,case,147,topic-4
Business/Finance,insurance,119,topic-4
Business/Finance,country,104,topic-4
Business/Finance,health,72,topic-4
Business/Finance,hair,68,topic-4
Business/Finance,test,66,topic-4
Business/Finance,medical,40,topic-4
Business/Finance,coronavirus,36,topic-4
Business/Finance,hospital,23,topic-4
Business/Finance,pandemic,22,topic-4
Business/Finance,lockdown,22,topic-4
Business/Finance,testing,21,topic-4
Business/Finance,positive,14,topic-4
Business/Finance,virus,11,topic-4
Business/Finance,corona,9,topic-4
Business/Finance,kit,8,topic-4
Business/Finance,removed,7,topic-4
Business/Finance,patient,4,topic-4
Business/Finance,doctor,4,topic-4
Business/Finance,covid,4,topic-4
Business/Finance,mask,3,topic-4
Business/Finance,quarantine,3,topic-4
Coronavirus,india,1840,topic-4
Coronavirus,coronavirus,1786,topic-4
Coronavirus,people,1445,topic-4
Coronavirus,lockdown,1187,topic-4
Coronavirus,corona,683,topic-4
Coronavirus,virus,559,topic-4
Coronavirus,government,505,topic-4
Coronavirus,positive,414,topic-4
Coronavirus,testing,390,topic-4
Coronavirus,health,346,topic-4
Coronavirus,test,334,topic-4
Coronavirus,covid,322,topic-4
Coronavirus,quarantine,256,topic-4
Coronavirus,pandemic,249,topic-4
Coronavirus,hospital,239,topic-4
Coronavirus,medical,237,topic-4
Coronavirus,country,231,topic-4
Coronavirus,case,188,topic-4
Coronavirus,doctor,129,topic-4
Coronavirus,mask,104,topic-4
Coronavirus,patient,101,topic-4
Coronavirus,kit,45,topic-4
Coronavirus,insurance,14,topic-4
Coronavirus,removed,5,topic-4
Coronavirus,hair,2,topic-4
NonPolitical,india,14172,topic-4
NonPolitical,people,6430,topic-4
NonPolitical,case,1697,topic-4
NonPolitical,government,1502,topic-4
NonPolitical,country,1448,topic-4
NonPolitical,health,630,topic-4
NonPolitical,hospital,595,topic-4
NonPolitical,coronavirus,532,topic-4
NonPolitical,medical,490,topic-4
NonPolitical,test,436,topic-4
NonPolitical,doctor,410,topic-4
NonPolitical,lockdown,275,topic-4
NonPolitical,positive,261,topic-4
NonPolitical,virus,259,topic-4
NonPolitical,corona,224,topic-4
NonPolitical,hair,207,topic-4
NonPolitical,removed,177,topic-4
NonPolitical,insurance,172,topic-4
NonPolitical,patient,145,topic-4
NonPolitical,testing,95,topic-4
NonPolitical,pandemic,75,topic-4
NonPolitical,quarantine,74,topic-4
NonPolitical,mask,62,topic-4
NonPolitical,covid,45,topic-4
NonPolitical,kit,22,topic-4
Policy/Economy,india,5650,topic-4
Policy/Economy,government,1880,topic-4
Policy/Economy,people,982,topic-4
Policy/Economy,country,419,topic-4
Policy/Economy,case,372,topic-4
Policy/Economy,health,371,topic-4
Policy/Economy,medical,152,topic-4
Policy/Economy,insurance,103,topic-4
Policy/Economy,coronavirus,99,topic-4
Policy/Economy,test,69,topic-4
Policy/Economy,positive,61,topic-4
Policy/Economy,lockdown,58,topic-4
Policy/Economy,doctor,49,topic-4
Policy/Economy,removed,41,topic-4
Policy/Economy,hospital,38,topic-4
Policy/Economy,pandemic,31,topic-4
Policy/Economy,corona,30,topic-4
Policy/Economy,covid,30,topic-4
Policy/Economy,virus,27,topic-4
Policy/Economy,patient,20,topic-4
Policy/Economy,testing,15,topic-4
Policy/Economy,quarantine,10,topic-4
Policy/Economy,mask,7,topic-4
Policy/Economy,kit,4,topic-4
Policy/Economy,hair,3,topic-4
Politics,india,15340,topic-4
Politics,people,6111,topic-4
Politics,government,4542,topic-4
Politics,case,2257,topic-4
Politics,country,2168,topic-4
Politics,health,361,topic-4
Politics,test,316,topic-4
Politics,hospital,273,topic-4
Politics,medical,265,topic-4
Politics,coronavirus,236,topic-4
Politics,removed,217,topic-4
Politics,lockdown,196,topic-4
Politics,doctor,137,topic-4
Politics,positive,134,topic-4
Politics,insurance,69,topic-4
Politics,virus,69,topic-4
Politics,corona,58,topic-4
Politics,pandemic,47,topic-4
Politics,testing,46,topic-4
Politics,patient,41,topic-4
Politics,hair,34,topic-4
Politics,covid,31,topic-4
Politics,mask,26,topic-4
Politics,quarantine,24,topic-4
Politics,kit,10,topic-4
Science/Technology,india,3612,topic-4
Science/Technology,people,430,topic-4
Science/Technology,government,219,topic-4
Science/Technology,test,173,topic-4
Science/Technology,country,114,topic-4
Science/Technology,health,92,topic-4
Science/Technology,medical,89,topic-4
Science/Technology,coronavirus,83,topic-4
Science/Technology,case,80,topic-4
Science/Technology,testing,61,topic-4
Science/Technology,virus,57,topic-4
Science/Technology,hospital,53,topic-4
Science/Technology,doctor,34,topic-4
Science/Technology,corona,30,topic-4
Science/Technology,positive,26,topic-4
Science/Technology,lockdown,23,topic-4
Science/Technology,removed,22,topic-4
Science/Technology,hair,19,topic-4
Science/Technology,kit,17,topic-4
Science/Technology,insurance,11,topic-4
Science/Technology,covid,11,topic-4
Science/Technology,mask,9,topic-4
Science/Technology,patient,9,topic-4
Science/Technology,pandemic,8,topic-4
Science/Technology,quarantine,5,topic-4
[R]eddiquette,india,1666,topic-4
[R]eddiquette,people,1171,topic-4
[R]eddiquette,case,318,topic-4
[R]eddiquette,government,312,topic-4
[R]eddiquette,country,257,topic-4
[R]eddiquette,health,96,topic-4
[R]eddiquette,medical,89,topic-4
[R]eddiquette,hospital,82,topic-4
[R]eddiquette,doctor,51,topic-4
[R]eddiquette,test,48,topic-4
[R]eddiquette,insurance,44,topic-4
[R]eddiquette,positive,39,topic-4
[R]eddiquette,hair,29,topic-4
[R]eddiquette,removed,28,topic-4
[R]eddiquette,patient,20,topic-4
[R]eddiquette,testing,18,topic-4
[R]eddiquette,mask,13,topic-4
[R]eddiquette,kit,4,topic-4
[R]eddiquette,virus,2,topic-4
AskIndia,india,10916,topic-5
AskIndia,people,7310,topic-5
AskIndia,indian,6602,topic-5
AskIndia,help,5544,topic-5
AskIndia,new,2888,topic-5
AskIndia,job,2778,topic-5
AskIndia,day,2095,topic-5
AskIndia,post,1456,topic-5
AskIndia,free,1198,topic-5
AskIndia,business,942,topic-5
AskIndia,randians,724,topic-5
AskIndia,salary,570,topic-5
AskIndia,daily,467,topic-5
AskIndia,modi,426,topic-5
AskIndia,lockdown,330,topic-5
AskIndia,employee,139,topic-5
AskIndia,removed,118,topic-5
AskIndia,challenge,85,topic-5
AskIndia,zomato,76,topic-5
AskIndia,deleted,53,topic-5
AskIndia,prep,39,topic-5
AskIndia,discord,34,topic-5
AskIndia,rindia,26,topic-5
AskIndia,sql,20,topic-5
AskIndia,np,7,topic-5
Business/Finance,india,4271,topic-5
Business/Finance,indian,1276,topic-5
Business/Finance,business,974,topic-5
Business/Finance,new,706,topic-5
Business/Finance,people,398,topic-5
Business/Finance,free,379,topic-5
Business/Finance,help,364,topic-5
Business/Finance,day,221,topic-5
Business/Finance,job,193,topic-5
Business/Finance,modi,151,topic-5
Business/Finance,daily,136,topic-5
Business/Finance,post,124,topic-5
Business/Finance,salary,119,topic-5
Business/Finance,zomato,73,topic-5
Business/Finance,challenge,65,topic-5
Business/Finance,sql,61,topic-5
Business/Finance,employee,55,topic-5
Business/Finance,lockdown,22,topic-5
Business/Finance,removed,7,topic-5
